work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,CT,['S'],30000,USD,30000,US,100,US,S
2023,MI,CT,['S'],25500,USD,25500,US,100,US,S
2023,MI,FT,['S'],65000,EUR,69751,IN,100,DE,S
2022,EN,FT,['S'],54000,CHF,56536,CH,100,CH,S
2023,SE,FT,['S'],50000,EUR,53654,FR,50,FR,S
2022,SE,FT,['S'],275000,USD,275000,CA,0,CA,S
2023,SE,FL,['S'],50000,USD,50000,UA,50,UA,S
2023,EN,FT,['S'],7000,USD,7000,GH,0,GH,S
2023,MI,FT,['S'],200000,USD,200000,US,0,US,S
2023,MI,FT,['S'],125000,USD,125000,US,0,US,S
2022,EN,PT,['S'],34320,USD,34320,US,100,US,S
2023,SE,FT,['S'],1300000,INR,15806,IN,100,IN,S
2023,SE,FT,['S'],100000,EUR,107309,DE,100,DE,S
2023,SE,FT,['S'],80000,EUR,85847,DE,100,DE,S
2023,SE,FT,['S'],110000,USD,110000,US,100,US,S
2023,SE,FT,['S'],80000,USD,80000,US,100,US,S
2021,MI,FT,['S'],30000,USD,30000,GH,0,GH,S
2023,MI,FT,['S'],36000,USD,36000,MX,100,MX,S
2023,EN,FT,['S'],110000,USD,110000,US,50,US,S
2023,EN,FT,['S'],130000,USD,130000,SE,100,SE,S
2023,EN,FT,['S'],30000,USD,30000,AR,100,US,S
2023,MI,FT,['S'],50000,USD,50000,AM,0,AM,S
2023,EN,FT,['S'],1060000,INR,12888,IN,50,IN,S
2023,EN,FT,['S'],120000,USD,120000,BA,50,BA,S
2023,SE,FT,['S'],200000,USD,200000,US,100,US,S
2023,MI,FT,['S'],80000,USD,80000,KE,100,KE,S
2022,EN,FT,['S'],6000,EUR,6304,MK,0,MK,S
2022,EN,FT,['S'],10000,USD,10000,MA,50,MA,S
2022,MI,FT,['S'],198000,PLN,44365,PL,100,PL,S
2022,MI,FT,['S'],56000,EUR,58837,FR,100,FR,S
2022,SE,FT,['S'],10000,USD,10000,CA,50,AL,S
2021,SE,FT,['S'],115000,USD,115000,US,100,US,S
2022,EN,FT,['S'],13000,USD,13000,AR,100,AR,S
2022,EN,FL,['S'],50000,USD,50000,BE,100,US,S
2022,EN,FT,['S'],50000,USD,50000,US,100,CR,S
2022,EN,FT,['S'],33000,USD,33000,IT,100,DE,S
2022,EN,FT,['S'],33000,EUR,34672,IT,100,DE,S
2022,SE,FT,['S'],12000,EUR,12608,SK,100,SK,S
2022,EN,PT,['S'],125404,USD,125404,CN,50,US,S
2022,SE,FT,['S'],200000,USD,200000,GB,100,GB,S
2022,SE,FT,['S'],165000,USD,165000,US,50,US,S
2022,EN,FT,['S'],108000,USD,108000,US,0,US,S
2022,SE,FT,['S'],120000,USD,120000,US,100,US,S
2022,SE,FT,['S'],55000,USD,55000,US,100,US,S
2022,MI,FT,['S'],72000,EUR,75648,DE,100,DE,S
2022,SE,FT,['S'],200000,USD,200000,NG,100,NG,S
2022,MI,FT,['S'],120000,EUR,126080,DE,0,DE,S
2022,MI,FT,['S'],80000,EUR,84053,DE,0,DE,S
2022,MI,CT,['S'],60000,USD,60000,IN,100,US,S
2022,SE,FT,['S'],60000,EUR,63040,FI,50,FI,S
2022,EX,FT,['S'],200000,USD,200000,US,100,US,S
2022,EX,FT,['S'],180000,USD,180000,US,100,US,S
2022,EX,FT,['S'],200000,USD,200000,US,100,US,S
2021,SE,FT,['S'],50000,USD,50000,PH,100,PH,S
2022,SE,FT,['S'],28500,EUR,29944,PT,50,PT,S
