work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,remote_status
2023,SE,FT,['In-Office'],222200,USD,222200,US,0,US,L,In-Office
2023,SE,FT,['In-Office'],136000,USD,136000,US,0,US,L,In-Office
2023,SE,FT,['In-Office'],219000,USD,219000,CA,0,CA,M,In-Office
2023,SE,FT,['In-Office'],141000,USD,141000,CA,0,CA,M,In-Office
2023,SE,FT,['In-Office'],147100,USD,147100,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],90700,USD,90700,US,0,US,M,In-Office
2023,EN,FT,['In-Office'],213660,USD,213660,US,0,US,L,In-Office
2023,EN,FT,['In-Office'],130760,USD,130760,US,0,US,L,In-Office
2023,SE,FT,['In-Office'],147100,USD,147100,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],90700,USD,90700,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],170000,USD,170000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],150000,USD,150000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],275000,USD,275000,DE,0,DE,M,In-Office
2023,SE,FT,['In-Office'],174000,USD,174000,DE,0,DE,M,In-Office
2023,SE,FT,['In-Office'],225000,USD,225000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],156400,USD,156400,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],200000,USD,200000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],130000,USD,130000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],90000,USD,90000,CA,0,CA,M,In-Office
2023,SE,FT,['In-Office'],72000,USD,72000,CA,0,CA,M,In-Office
2023,SE,FT,['In-Office'],253200,USD,253200,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],90700,USD,90700,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],342810,USD,342810,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],184590,USD,184590,US,0,US,M,In-Office
2023,MI,FT,['In-Office'],162500,USD,162500,US,0,US,M,In-Office
2023,MI,FT,['In-Office'],130000,USD,130000,US,0,US,M,In-Office
2023,MI,FT,['In-Office'],105380,USD,105380,US,0,US,M,In-Office
2023,MI,FT,['In-Office'],64500,USD,64500,US,0,US,M,In-Office
2022,MI,FT,['In-Office'],1650000,INR,20984,IN,50,IN,L,In-Office
2023,EN,FT,['In-Office'],204620,USD,204620,US,0,US,L,In-Office
2023,EN,FT,['In-Office'],110680,USD,110680,US,0,US,L,In-Office
2023,SE,FT,['In-Office'],270703,USD,270703,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],221484,USD,221484,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],189110,USD,189110,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],139000,USD,139000,US,0,US,M,In-Office
2023,EX,FT,['In-Office'],258750,USD,258750,US,0,US,M,In-Office
2023,EX,FT,['In-Office'],185000,USD,185000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],238000,USD,238000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],176000,USD,176000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],309400,USD,309400,US,0,US,L,In-Office
2023,SE,FT,['In-Office'],159100,USD,159100,US,0,US,L,In-Office
2023,SE,FT,['In-Office'],115000,USD,115000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],81500,USD,81500,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],280000,USD,280000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],210000,USD,210000,US,0,US,M,In-Office
2023,MI,FT,['In-Office'],510000,HKD,65062,HK,0,HK,L,In-Office
2022,EN,FT,['In-Office'],300000,USD,300000,IN,50,IN,L,In-Office
2023,SE,FT,['In-Office'],185900,USD,185900,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],129300,USD,129300,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],185000,USD,185000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],140000,USD,140000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],45000,EUR,48289,ES,0,ES,M,In-Office
2023,SE,FT,['In-Office'],36000,EUR,38631,ES,0,ES,M,In-Office
2023,SE,FT,['In-Office'],105000,USD,105000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],70000,USD,70000,US,0,US,M,In-Office
2023,EN,FT,['In-Office'],163196,USD,163196,US,0,US,M,In-Office
2023,EN,FT,['In-Office'],145885,USD,145885,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],202800,USD,202800,US,0,US,L,In-Office
2023,SE,FT,['In-Office'],104300,USD,104300,US,0,US,L,In-Office
2023,SE,FT,['In-Office'],145000,USD,145000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],65000,USD,65000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],165000,USD,165000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],132300,USD,132300,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],179170,USD,179170,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],94300,USD,94300,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],152500,USD,152500,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],116450,USD,116450,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],247300,USD,247300,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],133800,USD,133800,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],203000,USD,203000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],133000,USD,133000,US,0,US,M,In-Office
2023,EN,FT,['In-Office'],220000,USD,220000,US,50,US,L,In-Office
2023,SE,FT,['In-Office'],150000,USD,150000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],120000,USD,120000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],289800,USD,289800,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],214000,USD,214000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],179820,USD,179820,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],143860,USD,143860,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],289800,USD,289800,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],214200,USD,214200,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],185900,USD,185900,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],129300,USD,129300,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],252000,USD,252000,US,0,US,M,In-Office
2023,SE,FT,['In-Office'],129000,USD,129000,US,0,US,M,In-Office
2023,MI,FT,['In-Office'],155000,USD,155000,US,0,US,M,In-Office
2023,MI,FT,['In-Office'],140000,USD,140000,US,0,US,M,In-Office
