work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,remote_status
2023,SE,FT,['Remote'],80000,EUR,85847,ES,100,ES,L,Remote
2023,MI,CT,['Remote'],30000,USD,30000,US,100,US,S,Remote
2023,MI,CT,['Remote'],25500,USD,25500,US,100,US,S,Remote
2023,SE,FT,['Remote'],175000,USD,175000,CA,100,CA,M,Remote
2023,SE,FT,['Remote'],120000,USD,120000,CA,100,CA,M,Remote
2023,SE,FT,['Remote'],130000,USD,130000,US,100,US,M,Remote
2023,SE,FT,['Remote'],100000,USD,100000,US,100,US,M,Remote
2023,MI,FT,['Remote'],150000,USD,150000,US,100,US,M,Remote
2023,MI,FT,['Remote'],110000,USD,110000,US,100,US,M,Remote
2023,SE,FT,['Remote'],230000,USD,230000,GB,100,GB,M,Remote
2023,SE,FT,['Remote'],143200,USD,143200,GB,100,GB,M,Remote
2023,EN,FT,['Remote'],100000,USD,100000,NG,100,NG,L,Remote
2023,EN,FT,['Remote'],30000,USD,30000,NG,100,NG,L,Remote
2023,SE,FT,['Remote'],212750,USD,212750,US,100,US,M,Remote
2023,SE,FT,['Remote'],185000,USD,185000,US,100,US,M,Remote
2023,SE,FT,['Remote'],262000,USD,262000,US,100,US,M,Remote
2023,SE,FT,['Remote'],245000,USD,245000,US,100,US,M,Remote
2023,SE,FT,['Remote'],275300,USD,275300,US,100,US,M,Remote
2023,SE,FT,['Remote'],183500,USD,183500,US,100,US,M,Remote
2023,SE,FT,['Remote'],218500,USD,218500,US,100,US,M,Remote
2023,SE,FT,['Remote'],199098,USD,199098,US,100,US,M,Remote
2023,SE,FT,['Remote'],203300,USD,203300,US,100,US,M,Remote
2023,SE,FT,['Remote'],123600,USD,123600,US,100,US,M,Remote
2023,SE,FT,['Remote'],231500,USD,231500,US,100,US,M,Remote
2023,SE,FT,['Remote'],166000,USD,166000,US,100,US,M,Remote
2023,SE,FT,['Remote'],172500,USD,172500,US,100,US,M,Remote
2023,SE,FT,['Remote'],110500,USD,110500,US,100,US,M,Remote
2023,SE,FT,['Remote'],237000,USD,237000,US,100,US,M,Remote
2023,SE,FT,['Remote'],201450,USD,201450,US,100,US,M,Remote
2023,SE,FT,['Remote'],237000,USD,237000,US,100,US,M,Remote
2023,SE,FT,['Remote'],201450,USD,201450,US,100,US,M,Remote
2023,SE,FT,['Remote'],280100,USD,280100,US,100,US,M,Remote
2023,SE,FT,['Remote'],168100,USD,168100,US,100,US,M,Remote
2023,SE,FT,['Remote'],193500,USD,193500,US,100,US,M,Remote
2023,SE,FT,['Remote'],139000,USD,139000,US,100,US,M,Remote
2023,SE,FT,['Remote'],150000,USD,150000,PT,100,US,M,Remote
2023,MI,FT,['Remote'],65000,EUR,69751,IN,100,DE,S,Remote
2023,MI,FT,['Remote'],90000,EUR,96578,NL,100,NL,L,Remote
2023,SE,FT,['Remote'],225000,USD,225000,US,100,US,M,Remote
2023,SE,FT,['Remote'],175000,USD,175000,US,100,US,M,Remote
2023,SE,FT,['Remote'],217000,USD,217000,US,100,US,M,Remote
2023,SE,FT,['Remote'],185000,USD,185000,US,100,US,M,Remote
2022,EN,FT,['Remote'],54000,CHF,56536,CH,100,CH,S,Remote
2023,SE,FT,['Remote'],283200,USD,283200,US,100,US,M,Remote
2023,SE,FT,['Remote'],188800,USD,188800,US,100,US,M,Remote
2023,SE,FT,['Remote'],161800,USD,161800,US,100,US,M,Remote
2023,SE,FT,['Remote'],141600,USD,141600,US,100,US,M,Remote
2023,MI,FT,['Remote'],100000,USD,100000,US,100,US,M,Remote
2023,MI,FT,['Remote'],70000,USD,70000,US,100,US,M,Remote
2023,SE,FT,['Remote'],138784,USD,138784,US,100,US,M,Remote
2023,SE,FT,['Remote'],83270,USD,83270,US,100,US,M,Remote
2023,SE,FT,['Remote'],318300,USD,318300,US,100,US,M,Remote
2023,SE,FT,['Remote'],212200,USD,212200,US,100,US,M,Remote
2023,SE,FT,['Remote'],95000,USD,95000,US,100,US,M,Remote
2023,SE,FT,['Remote'],75000,USD,75000,US,100,US,M,Remote
2023,MI,FT,['Remote'],100000,USD,100000,US,100,US,M,Remote
2023,MI,FT,['Remote'],70000,USD,70000,US,100,US,M,Remote
2023,MI,FT,['Remote'],1700000,INR,20670,IN,100,IN,L,Remote
2023,SE,FT,['Remote'],150000,USD,150000,US,100,US,M,Remote
2023,SE,FT,['Remote'],120000,USD,120000,US,100,US,M,Remote
2023,SE,FT,['Remote'],45000,GBP,54685,CF,100,CF,M,Remote
2023,SE,FT,['Remote'],35000,GBP,42533,CF,100,CF,M,Remote
2023,SE,FT,['Remote'],220000,USD,220000,US,100,US,M,Remote
2023,SE,FT,['Remote'],190000,USD,190000,US,100,US,M,Remote
2023,MI,FT,['Remote'],70000,GBP,85066,GB,100,GB,M,Remote
2023,MI,FT,['Remote'],47500,GBP,57723,GB,100,GB,M,Remote
2023,EN,FT,['Remote'],85000,USD,85000,US,100,US,M,Remote
2023,EN,FT,['Remote'],75000,USD,75000,US,100,US,M,Remote
2023,SE,FT,['Remote'],180000,USD,180000,US,100,US,M,Remote
2023,SE,FT,['Remote'],115000,USD,115000,US,100,US,M,Remote
2023,SE,FT,['Remote'],200000,USD,200000,US,100,US,M,Remote
2023,SE,FT,['Remote'],115000,USD,115000,US,100,US,M,Remote
2023,SE,FT,['Remote'],200000,USD,200000,US,100,US,M,Remote
2023,SE,FT,['Remote'],150000,USD,150000,US,100,US,M,Remote
2023,SE,FT,['Remote'],120000,USD,120000,US,100,US,M,Remote
2023,SE,FT,['Remote'],75000,USD,75000,US,100,US,M,Remote
2023,EN,FT,['Remote'],1400000,INR,17022,IN,100,IN,L,Remote
2023,SE,FT,['Remote'],100000,AUD,68318,AU,100,FI,M,Remote
2023,MI,FT,['Remote'],200000,USD,200000,US,100,US,M,Remote
2023,SE,FT,['Remote'],190000,USD,190000,US,100,US,M,Remote
2023,SE,FT,['Remote'],112000,USD,112000,US,100,US,M,Remote
2022,SE,FT,['Remote'],84000,EUR,88256,ES,100,GB,L,Remote
2023,SE,FT,['Remote'],220000,USD,220000,US,100,US,M,Remote
2023,SE,FT,['Remote'],160000,USD,160000,US,100,US,M,Remote
2023,SE,FT,['Remote'],175000,USD,175000,US,100,US,M,Remote
2023,SE,FT,['Remote'],145000,USD,145000,US,100,US,M,Remote
2023,SE,FT,['Remote'],152900,USD,152900,US,100,US,M,Remote
2023,SE,FT,['Remote'],117100,USD,117100,US,100,US,M,Remote
2023,SE,FT,['Remote'],173000,USD,173000,US,100,US,M,Remote
2023,SE,FT,['Remote'],113000,USD,113000,US,100,US,M,Remote
2023,SE,FT,['Remote'],130000,USD,130000,US,100,US,M,Remote
2023,SE,FT,['Remote'],110000,USD,110000,US,100,US,M,Remote
2023,SE,FT,['Remote'],205000,USD,205000,US,100,US,M,Remote
2023,SE,FT,['Remote'],184000,USD,184000,US,100,US,M,Remote
2023,SE,FT,['Remote'],149500,USD,149500,US,100,US,M,Remote
2023,SE,FT,['Remote'],127075,USD,127075,US,100,US,M,Remote
2023,SE,FT,['Remote'],219535,USD,219535,US,100,US,M,Remote
2023,SE,FT,['Remote'],146115,USD,146115,US,100,US,M,Remote
2023,SE,FT,['Remote'],175000,USD,175000,US,100,US,M,Remote
2023,SE,FT,['Remote'],145000,USD,145000,US,100,US,M,Remote
2023,EX,FT,['Remote'],221000,USD,221000,US,100,US,M,Remote
2023,EX,FT,['Remote'],153000,USD,153000,US,100,US,M,Remote
2023,SE,FT,['Remote'],175000,USD,175000,US,100,US,M,Remote
2023,SE,FT,['Remote'],100000,USD,100000,US,100,US,M,Remote
2023,SE,FT,['Remote'],142000,USD,142000,US,100,US,M,Remote
2023,SE,FT,['Remote'],75000,USD,75000,US,100,US,M,Remote
2023,SE,FT,['Remote'],125000,USD,125000,US,100,US,M,Remote
2023,SE,FT,['Remote'],112000,USD,112000,US,100,US,M,Remote
2023,SE,FT,['Remote'],115000,USD,115000,US,100,US,M,Remote
2023,SE,FT,['Remote'],86000,USD,86000,US,100,US,M,Remote
2023,MI,FT,['Remote'],280700,USD,280700,US,100,US,M,Remote
2023,MI,FT,['Remote'],150450,USD,150450,US,100,US,M,Remote
2023,EN,FT,['Remote'],70000,CAD,51753,CA,100,CA,L,Remote
2023,EN,FT,['Remote'],130001,USD,130001,US,100,US,M,Remote
2023,EN,FT,['Remote'],71907,USD,71907,US,100,US,M,Remote
2023,MI,FT,['Remote'],93918,USD,93918,US,100,US,M,Remote
2023,MI,FT,['Remote'],51962,USD,51962,US,100,US,M,Remote
2023,SE,FT,['Remote'],175000,USD,175000,CA,100,CA,M,Remote
2023,SE,FT,['Remote'],135000,USD,135000,CA,100,CA,M,Remote
2023,SE,FT,['Remote'],222000,USD,222000,US,100,US,M,Remote
2023,SE,FT,['Remote'],175000,USD,175000,US,100,US,M,Remote
2023,SE,FT,['Remote'],203000,USD,203000,US,100,US,M,Remote
2023,SE,FT,['Remote'],133200,USD,133200,US,100,US,M,Remote
2023,SE,FT,['Remote'],238000,USD,238000,US,100,US,M,Remote
2023,SE,FT,['Remote'],156000,USD,156000,US,100,US,M,Remote
2023,SE,FT,['Remote'],304000,USD,304000,US,100,US,M,Remote
2023,SE,FT,['Remote'],199000,USD,199000,US,100,US,M,Remote
2023,MI,FT,['Remote'],45000,EUR,48289,ES,100,ES,M,Remote
2023,SE,FT,['Remote'],140000,USD,140000,US,100,US,M,Remote
2023,SE,FT,['Remote'],110000,USD,110000,US,100,US,M,Remote
2023,SE,FT,['Remote'],160000,USD,160000,US,100,US,M,Remote
