Age Range,Deaths in Range,Surviving Members,Mortality Rate
0,8,142,0.05333333333333334
5,2,148,0.06666666666666667
10,4,146,0.04
15,2,148,0.04
20,9,141,0.07333333333333333
25,5,145,0.09333333333333334
30,7,143,0.08
35,4,146,0.07333333333333333
40,1,149,0.03333333333333333
45,8,142,0.06
50,8,142,0.10666666666666667
55,11,139,0.12666666666666668
60,3,147,0.09333333333333334
65,15,135,0.12
70,16,134,0.20666666666666667
75,17,133,0.22
80,11,139,0.18666666666666668
85,10,140,0.14
90,8,142,0.12
100,1,149,0.006666666666666667
